STATUS	RVA	ADDRESS	NAME	PRIORITY	SEED_TYPE	ERROR
FAILED	unknown	EXTERNAL:00000063	seekg	0	CONTEXT	Exception while decompiling EXTERNAL:00000063: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000064	seekg	0	CONTEXT	Exception while decompiling EXTERNAL:00000064: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000065	tellg	0	CONTEXT	Exception while decompiling EXTERNAL:00000065: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000066	sputc	0	CONTEXT	Exception while decompiling EXTERNAL:00000066: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000067	_Osfx	0	CONTEXT	Exception while decompiling EXTERNAL:00000067: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000068	flush	0	CONTEXT	Exception while decompiling EXTERNAL:00000068: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000069	setstate	0	CONTEXT	Exception while decompiling EXTERNAL:00000069: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000006a	basic_iostream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:0000006a: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000006b	clear	0	CONTEXT	Exception while decompiling EXTERNAL:0000006b: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000006d	operator>>	0	CONTEXT	Exception while decompiling EXTERNAL:0000006d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000006e	operator>>	0	CONTEXT	Exception while decompiling EXTERNAL:0000006e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000071	~basic_iostream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000071: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000075	good	0	CONTEXT	Exception while decompiling EXTERNAL:00000075: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000085	basic_istream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000085: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000086	basic_ostream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000086: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000087	basic_ios<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000087: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000008d	basic_streambuf<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:0000008d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000097	strchr	0	CONTEXT	Exception while decompiling EXTERNAL:00000097: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000aa	malloc	0	CONTEXT	Exception while decompiling EXTERNAL:000000aa: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000ab	_invalid_parameter_noinfo_noreturn	0	CONTEXT	Exception while decompiling EXTERNAL:000000ab: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000b1	abort	0	CONTEXT	Exception while decompiling EXTERNAL:000000b1: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000bb	strncmp	0	CONTEXT	Exception while decompiling EXTERNAL:000000bb: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000c6	strncpy	0	CONTEXT	Exception while decompiling EXTERNAL:000000c6: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000d4	getc	0	CONTEXT	Exception while decompiling EXTERNAL:000000d4: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000d5	fclose	0	CONTEXT	Exception while decompiling EXTERNAL:000000d5: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000d6	freopen	0	CONTEXT	Exception while decompiling EXTERNAL:000000d6: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000d7	ferror	0	CONTEXT	Exception while decompiling EXTERNAL:000000d7: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000d8	fopen	0	CONTEXT	Exception while decompiling EXTERNAL:000000d8: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000d9	__acrt_iob_func	0	CONTEXT	Exception while decompiling EXTERNAL:000000d9: Cannot marshal address space: EXTERNAL 
