TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
CONTEXT	0x4260	180004260	FUN_180004260	0	undefined FUN_180004260(longlong * param_1)
CONTEXT	0x42A0	1800042a0	FUN_1800042a0	0	undefined FUN_1800042a0(longlong * param_1)
CONTEXT	0x42E0	1800042e0	FUN_1800042e0	0	undefined FUN_1800042e0(longlong * param_1)
CONTEXT	0x44B0	1800044b0	FUN_1800044b0	0	undefined8 * FUN_1800044b0(undefined8 * param_1, undefined8 * param_2)
CONTEXT	0x45D0	1800045d0	FUN_1800045d0	0	undefined FUN_1800045d0(longlong param_1)
CONTEXT	0x46A0	1800046a0	FUN_1800046a0	0	undefined FUN_1800046a0(ulonglong * param_1, ulonglong param_2, undefined8 param_3)
CONTEXT	0x5C30	180005c30	FUN_180005c30	0	LPWSTR FUN_180005c30(LPWSTR param_1, UINT param_2, undefined8 * param_3)
CONTEXT	0x5DA0	180005da0	FUN_180005da0	0	uint * FUN_180005da0(uint * param_1, uint * param_2)
CONTEXT	0x6190	180006190	FUN_180006190	0	uint * FUN_180006190(uint * param_1, uint * param_2, uint * param_3)
CONTEXT	0x6FC0	180006fc0	FUN_180006fc0	0	undefined FUN_180006fc0(longlong * param_1, longlong * param_2)
CONTEXT	0x70C0	1800070c0	FUN_1800070c0	0	undefined FUN_1800070c0(longlong * param_1)
CONTEXT	0x71E0	1800071e0	n_Wait	0	void n_Wait(InfoBase * param_1)
CONTEXT	0x77D0	1800077d0	n_QuitGame	0	void n_QuitGame(void)
CONTEXT	0x7910	180007910	FUN_180007910	0	char FUN_180007910(undefined8 param_1, void * param_2)
CONTEXT	0x7EF0	180007ef0	FUN_180007ef0	0	undefined FUN_180007ef0(longlong param_1)
CONTEXT	0x7FA0	180007fa0	FUN_180007fa0	0	undefined FUN_180007fa0(longlong param_1)
CONTEXT	0x88C0	1800088c0	FUN_1800088c0	0	undefined FUN_1800088c0(void)
CONTEXT	0x88E0	1800088e0	FUN_1800088e0	0	longlong * FUN_1800088e0(longlong * param_1, UINT param_2, undefined8 * param_3)
CONTEXT	0x9990	180009990	FUN_180009990	0	longlong * FUN_180009990(undefined8 param_1, longlong * param_2, longlong * param_3)
CONTEXT	0xA140	18000a140	FUN_18000a140	0	longlong * FUN_18000a140(longlong * param_1, UINT param_2, undefined8 * param_3)
CONTEXT	0xC140	18000c140	FUN_18000c140	0	undefined8 FUN_18000c140(undefined8 param_1, int param_2)
CONTEXT	0xC230	18000c230	FUN_18000c230	0	undefined FUN_18000c230(undefined8 * param_1)
CONTEXT	0xC2C0	18000c2c0	FUN_18000c2c0	0	undefined FUN_18000c2c0(undefined8 * param_1)
CONTEXT	0xD158	18000d158	FUN_18000d158	0	ulonglong FUN_18000d158(uint param_1)
CONTEXT	0xD218	18000d218	FUN_18000d218	0	ulonglong FUN_18000d218(longlong param_1, uint param_2)
CONTEXT	0xD740	18000d740	FUN_18000d740	0	uint FUN_18000d740(undefined8 * param_1, LPCVOID param_2, undefined8 * param_3)
CONTEXT	0xD8E0	18000d8e0	FUN_18000d8e0	0	undefined FUN_18000d8e0(longlong param_1)
CONTEXT	0xD8E8	18000d8e8	FUN_18000d8e8	0	undefined FUN_18000d8e8(longlong param_1)
CONTEXT	0xD8F4	18000d8f4	FUN_18000d8f4	0	undefined8 FUN_18000d8f4(void)
CONTEXT	0xD950	18000d950	FUN_18000d950	0	ulonglong FUN_18000d950(longlong param_1)
CONTEXT	0xDAA0	18000daa0	FUN_18000daa0	0	undefined FUN_18000daa0(undefined8 * param_1)
CONTEXT	0xE75F	18000e75f	CreateToolhelp32Snapshot	0	undefined CreateToolhelp32Snapshot(void)
CONTEXT	0xE765	18000e765	Thread32First	0	undefined Thread32First(void)
CONTEXT	0xE76B	18000e76b	Thread32Next	0	undefined Thread32Next(void)
CONTEXT	0xE89C	18000e89c	FUN_18000e89c	0	ulonglong FUN_18000e89c(void)
CONTEXT	0xEE90	18000ee90	__security_check_cookie	0	void __security_check_cookie(uintptr_t _StackCookie)
CONTEXT	0xEEB0	18000eeb0	FUN_18000eeb0	0	undefined FUN_18000eeb0(size_t param_1)
CONTEXT	0xF244	18000f244	atexit	0	int atexit(_func_5014 * param_1)
CONTEXT	0xF264	18000f264	FUN_18000f264	0	undefined FUN_18000f264(void * param_1)
CONTEXT	0xF2D4	18000f2d4	_Init_thread_footer	0	undefined _Init_thread_footer(int * param_1)
CONTEXT	0xF340	18000f340	FUN_18000f340	0	undefined FUN_18000f340(int * param_1)
CONTEXT	0xF3B8	18000f3b8	`eh_vector_destructor_iterator'	0	void `eh_vector_destructor_iterator'(void * param_1, __uint64 param_2, __uint64 param_3, _func_void_void_ptr * param_4)
CONTEXT	0x1000A	18001000a	memset	0	void * memset(void * _Dst, int _Val, size_t _Size)
CONTEXT	0x10950	180010950	FUN_180010950	0	undefined FUN_180010950(void)
CONTEXT	0x109D0	1800109d0	FUN_1800109d0	0	undefined FUN_1800109d0(void)
