STATUS	RVA	ADDRESS	NAME	PRIORITY	SEED_TYPE	ERROR
FAILED	unknown	EXTERNAL:00000033	GetFileInformationByHandleEx	15	CONTEXT	Exception while decompiling EXTERNAL:00000033: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000001	Print	0	CONTEXT	Exception while decompiling EXTERNAL:00000001: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000004	GetCurrentProcess	0	CONTEXT	Exception while decompiling EXTERNAL:00000004: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000005	K32GetModuleInformation	0	CONTEXT	Exception while decompiling EXTERNAL:00000005: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000006	GetModuleHandleW	0	CONTEXT	Exception while decompiling EXTERNAL:00000006: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000008	Sleep	0	CONTEXT	Exception while decompiling EXTERNAL:00000008: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000009	VirtualProtect	0	CONTEXT	Exception while decompiling EXTERNAL:00000009: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000a	CloseHandle	0	CONTEXT	Exception while decompiling EXTERNAL:0000000a: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000c	HeapAlloc	0	CONTEXT	Exception while decompiling EXTERNAL:0000000c: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000d	HeapReAlloc	0	CONTEXT	Exception while decompiling EXTERNAL:0000000d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000e	HeapFree	0	CONTEXT	Exception while decompiling EXTERNAL:0000000e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000f	GetCurrentProcessId	0	CONTEXT	Exception while decompiling EXTERNAL:0000000f: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000010	GetCurrentThreadId	0	CONTEXT	Exception while decompiling EXTERNAL:00000010: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000011	OpenThread	0	CONTEXT	Exception while decompiling EXTERNAL:00000011: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000012	SuspendThread	0	CONTEXT	Exception while decompiling EXTERNAL:00000012: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000013	ResumeThread	0	CONTEXT	Exception while decompiling EXTERNAL:00000013: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000014	GetThreadContext	0	CONTEXT	Exception while decompiling EXTERNAL:00000014: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000015	SetThreadContext	0	CONTEXT	Exception while decompiling EXTERNAL:00000015: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000016	FlushInstructionCache	0	CONTEXT	Exception while decompiling EXTERNAL:00000016: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000001a	GetSystemInfo	0	CONTEXT	Exception while decompiling EXTERNAL:0000001a: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000001b	VirtualAlloc	0	CONTEXT	Exception while decompiling EXTERNAL:0000001b: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000001d	VirtualQuery	0	CONTEXT	Exception while decompiling EXTERNAL:0000001d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000031	GetLastError	0	CONTEXT	Exception while decompiling EXTERNAL:00000031: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000032	FindClose	0	CONTEXT	Exception while decompiling EXTERNAL:00000032: Cannot marshal address space: EXTERNAL 
