ADDRESS	NAME	NAMESPACE	SIZE	THUNK	EXTERNAL
18001bb50	FUN_18001bb50	Global	0x98	false	false
18001bbf0	FUN_18001bbf0	Global	0x92	false	false
18001bc90	FUN_18001bc90	Global	0x10c	false	false
18001bda0	FUN_18001bda0	Global	0x7a	false	false
18001be20	FUN_18001be20	Global	0x94	false	false
18001bec0	FUN_18001bec0	Global	0x64	false	false
18001bf30	FUN_18001bf30	Global	0x72	false	false
18001bfb0	FUN_18001bfb0	Global	0x8e	false	false
18001c040	FUN_18001c040	Global	0x60	false	false
18001c0a0	FUN_18001c0a0	Global	0x1e5	false	false
18001c290	FUN_18001c290	Global	0x60	false	false
18001c2f0	FUN_18001c2f0	Global	0x84	false	false
18001c380	FUN_18001c380	Global	0x60	false	false
18001c3e0	FUN_18001c3e0	Global	0x11	false	false
18001c400	FUN_18001c400	Global	0x5e	false	false
18001c460	FUN_18001c460	Global	0x143	false	false
18001c5a3	_Xlength_error	MSVCP140.DLL::std	0x6	true	false
18001c5ac	AcquireSRWLockExclusive	KERNEL32.DLL	0x7	true	false
18001c5b4	AcquireSRWLockShared	KERNEL32.DLL	0x7	true	false
18001c5bc	ReleaseSRWLockExclusive	KERNEL32.DLL	0x7	true	false
18001c5c4	ReleaseSRWLockShared	KERNEL32.DLL	0x7	true	false
18001c5cc	Sleep	KERNEL32.DLL	0x7	true	false
18001c5d3	_Lock	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c5d9	_Unlock	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c5df	showmanyc	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c5e5	uflow	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c5eb	xsgetn	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c5f1	xsputn	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c5f7	setbuf	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c5fd	sync	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c603	imbue	MSVCP140.DLL::std::basic_streambuf<char,std::char_traits<char>_>	0x6	true	false
18001c620	__security_check_cookie	Global	0x1e	false	false
18001c640	__scrt_acquire_startup_lock	Global	0x39	false	false
18001c67c	__scrt_dllmain_after_initialize_c	Global	0x34	false	false
18001c6b0	FUN_18001c6b0	Global	0x15	false	false
18001c6c8	FUN_18001c6c8	Global	0x28	false	false
18001c6f0	FUN_18001c6f0	Global	0x15	false	false
18001c708	__scrt_dllmain_exception_filter	Global	0x60	false	false
18001c768	__scrt_dllmain_uninitialize_c	Global	0x30	false	false
18001c798	FUN_18001c798	Global	0x14	false	false
18001c7ac	FUN_18001c7ac	Global	0x3a	false	false
18001c7e8	FUN_18001c7e8	Global	0x8a	false	false
18001c874	FUN_18001c874	Global	0x96	false	false
18001c90c	__scrt_release_startup_lock	Global	0x24	false	false
18001c930	__scrt_uninitialize_crt	Global	0x29	false	false
18001c95c	_onexit	Global	0x3a	false	false
18001c998	atexit	Global	0x17	false	false
18001c9b8	FUN_18001c9b8	Global	0x5	false	false
18001c9c0	FUN_18001c9c0	Global	0x39	false	false
18001c9fc	_Init_thread_footer	Global	0x69	false	false
18001ca68	FUN_18001ca68	Global	0x78	false	false
18001cae0	FUN_18001cae0	Global	0x3a	false	false
18001cb1c	FUN_18001cb1c	Global	0x2b	false	false
18001cb48	FUN_18001cb48	Global	0x50	false	false
18001cb98	FUN_18001cb98	Global	0x114	false	false
18001ccb0	FUN_18001ccb0	Global	0x7d	false	false
18001cd30	FUN_18001cd30	Global	0x122	false	false
18001ce58	entry	Global	0x3d	false	false
18001ce98	__GSHandlerCheck	Global	0x1d	false	false
18001ceb8	__GSHandlerCheckCommon	Global	0x5b	false	false
18001cf14	thunk_FUN_18001cae0	Global	0x5	true	false
18001cf1c	FID_conflict:__GSHandlerCheck_EH	Global	0x7f	false	false
18001cf9c	__raise_securityfailure	Global	0x34	false	false
18001cfd0	FUN_18001cfd0	Global	0xd3	false	false
18001d0a4	capture_previous_context	Global	0x71	false	false
18001d118	FUN_18001d118	Global	0x2ca	false	false
18001d3e4	FUN_18001d3e4	Global	0x6	false	false
18001d3ec	__scrt_is_ucrt_dll_in_use	Global	0xc	false	false
18001d3f8	FUN_18001d3f8	Global	0x8	false	false
18001d400	FUN_18001d400	Global	0x148	false	false
18001d548	FUN_18001d548	Global	0x1e	false	false
18001d568	FUN_18001d568	Global	0x1f	false	false
18001d588	__security_init_cookie	Global	0xac	false	false
18001d634	FUN_18001d634	Global	0x23	false	false
18001d658	FUN_18001d658	Global	0xe	false	false
18001d668	FUN_18001d668	Global	0xc	false	false
18001d674	FUN_18001d674	Global	0x8	false	false
18001d67c	FUN_18001d67c	Global	0x8	false	false
18001d684	FUN_18001d684	Global	0x1b	false	false
18001d6a0	FUN_18001d6a0	Global	0x8	false	false
18001d6a8	FUN_18001d6a8	Global	0x3c	false	false
18001d6e4	FUN_18001d6e4	Global	0x3c	false	false
18001d720	__WSAFDIsSet	WS2_32.DLL	0x6	true	false
18001d726	__CxxFrameHandler4	VCRUNTIME140_1.DLL	0x6	true	false
18001d732	memcpy	VCRUNTIME140.DLL	0x6	true	false
18001d738	memset	VCRUNTIME140.DLL	0x6	true	false
18001d73e	memmove	VCRUNTIME140.DLL	0x6	true	false
18001d744	_purecall	VCRUNTIME140.DLL	0x6	true	false
18001d750	_CxxThrowException	VCRUNTIME140.DLL	0x6	true	false
18001d756	__std_type_info_destroy_list	VCRUNTIME140.DLL	0x6	true	false
18001d75c	malloc	API-MS-WIN-CRT-HEAP-L1-1-0.DLL	0x6	true	false
18001d762	free	API-MS-WIN-CRT-HEAP-L1-1-0.DLL	0x6	true	false
18001d768	abort	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d76e	_seh_filter_dll	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d774	_configure_narrow_argv	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d77a	_initialize_narrow_environment	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d780	_initialize_onexit_table	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d786	_register_onexit_function	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d78c	_execute_onexit_table	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d792	_crt_atexit	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d798	_cexit	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d79e	_callnewh	API-MS-WIN-CRT-HEAP-L1-1-0.DLL	0x6	true	false
18001d7a4	_initterm	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d7aa	_initterm_e	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001d7b0	cef_log	LIBCEF.DLL	0x6	true	false
18001d7b6	cef_string_userfree_utf16_free	LIBCEF.DLL	0x6	true	false
18001d7bc	cef_list_value_create	LIBCEF.DLL	0x6	true	false
