STATUS	RVA	ADDRESS	NAME	PRIORITY	SEED_TYPE	ERROR
FAILED	unknown	EXTERNAL:000000a8	_get_stream_buffer_pointers	0	CONTEXT	Exception while decompiling EXTERNAL:000000a8: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000ab	fopen_s	0	CONTEXT	Exception while decompiling EXTERNAL:000000ab: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000bd	_localtime64_s	0	CONTEXT	Exception while decompiling EXTERNAL:000000bd: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000be	_time64	0	CONTEXT	Exception while decompiling EXTERNAL:000000be: Cannot marshal address space: EXTERNAL 
OK	0x1D40	180001d40	FUN_180001d40	0	CONTEXT	
OK	0x1DA0	180001da0	FUN_180001da0	0	CONTEXT	
OK	0x1FE0	180001fe0	FUN_180001fe0	0	CONTEXT	
OK	0x27A0	1800027a0	FUN_1800027a0	0	CONTEXT	
OK	0x2BB0	180002bb0	FUN_180002bb0	0	CONTEXT	
OK	0x2C50	180002c50	FUN_180002c50	0	CONTEXT	
OK	0x2CF0	180002cf0	FUN_180002cf0	0	CONTEXT	
OK	0x2D90	180002d90	FUN_180002d90	0	CONTEXT	
OK	0x38C0	1800038c0	FUN_1800038c0	0	CONTEXT	
OK	0x3D10	180003d10	FUN_180003d10	0	CONTEXT	
OK	0x4170	180004170	FUN_180004170	0	CONTEXT	
OK	0x42C0	1800042c0	FUN_1800042c0	0	CONTEXT	
OK	0x4CC0	180004cc0	FUN_180004cc0	0	CONTEXT	
OK	0x51F0	1800051f0	FUN_1800051f0	0	CONTEXT	
OK	0x54F0	1800054f0	FUN_1800054f0	0	CONTEXT	
OK	0x5600	180005600	FUN_180005600	0	CONTEXT	
OK	0x5650	180005650	FUN_180005650	0	CONTEXT	
OK	0x5F10	180005f10	FUN_180005f10	0	CONTEXT	
OK	0x5F70	180005f70	FUN_180005f70	0	CONTEXT	
OK	0x6010	180006010	FUN_180006010	0	CONTEXT	
OK	0x6120	180006120	FUN_180006120	0	CONTEXT	
OK	0x6CD0	180006cd0	FUN_180006cd0	0	CONTEXT	
OK	0xB7D0	18000b7d0	FUN_18000b7d0	0	CONTEXT	
OK	0x12120	180012120	FUN_180012120	0	CONTEXT	
OK	0x19530	180019530	FUN_180019530	0	CONTEXT	
OK	0x196D0	1800196d0	FUN_1800196d0	0	CONTEXT	
OK	0x19940	180019940	FUN_180019940	0	CONTEXT	
OK	0x1A790	18001a790	FUN_18001a790	0	CONTEXT	
OK	0x1F5F0	18001f5f0	FUN_18001f5f0	0	CONTEXT	
OK	0x1F770	18001f770	FUN_18001f770	0	CONTEXT	
OK	0x1F780	18001f780	FUN_18001f780	0	CONTEXT	
OK	0x1F970	18001f970	FUN_18001f970	0	CONTEXT	
OK	0x1FB60	18001fb60	FUN_18001fb60	0	CONTEXT	
OK	0x201E0	1800201e0	FUN_1800201e0	0	CONTEXT	
OK	0x205D0	1800205d0	FUN_1800205d0	0	CONTEXT	
OK	0x205F0	1800205f0	FUN_1800205f0	0	CONTEXT	
OK	0x208C0	1800208c0	FUN_1800208c0	0	CONTEXT	
OK	0x20900	180020900	FUN_180020900	0	CONTEXT	
OK	0x20A20	180020a20	FUN_180020a20	0	CONTEXT	
OK	0x20A50	180020a50	FUN_180020a50	0	CONTEXT	
OK	0x225B0	1800225b0	FUN_1800225b0	0	CONTEXT	
OK	0x22820	180022820	FUN_180022820	0	CONTEXT	
OK	0x22A30	180022a30	FUN_180022a30	0	CONTEXT	
OK	0x22B00	180022b00	FUN_180022b00	0	CONTEXT	
OK	0x22BF0	180022bf0	FUN_180022bf0	0	CONTEXT	
OK	0x22F50	180022f50	FUN_180022f50	0	CONTEXT	
OK	0x24330	180024330	FUN_180024330	0	CONTEXT	
OK	0x24CD0	180024cd0	FUN_180024cd0	0	CONTEXT	
OK	0x24E20	180024e20	FUN_180024e20	0	CONTEXT	
OK	0x257D0	1800257d0	FUN_1800257d0	0	CONTEXT	
OK	0x25880	180025880	FUN_180025880	0	CONTEXT	
OK	0x26AF0	180026af0	FUN_180026af0	0	CONTEXT	
OK	0x26DC0	180026dc0	FUN_180026dc0	0	CONTEXT	
OK	0x26F20	180026f20	FUN_180026f20	0	CONTEXT	
OK	0x27650	180027650	FUN_180027650	0	CONTEXT	
OK	0x27AB0	180027ab0	FUN_180027ab0	0	CONTEXT	
OK	0x27B60	180027b60	FUN_180027b60	0	CONTEXT	
OK	0x287D0	1800287d0	FUN_1800287d0	0	CONTEXT	
OK	0x29F00	180029f00	FUN_180029f00	0	CONTEXT	
OK	0x29FE0	180029fe0	FUN_180029fe0	0	CONTEXT	
OK	0x2A240	18002a240	FUN_18002a240	0	CONTEXT	
OK	0x2A280	18002a280	FUN_18002a280	0	CONTEXT	
OK	0x2A380	18002a380	FUN_18002a380	0	CONTEXT	
OK	0x2A850	18002a850	FUN_18002a850	0	CONTEXT	
OK	0x2C000	18002c000	FUN_18002c000	0	CONTEXT	
OK	0x2C100	18002c100	FUN_18002c100	0	CONTEXT	
OK	0x2C200	18002c200	FUN_18002c200	0	CONTEXT	
OK	0x2C300	18002c300	FUN_18002c300	0	CONTEXT	
OK	0x2C560	18002c560	FUN_18002c560	0	CONTEXT	
OK	0x2CF70	18002cf70	FUN_18002cf70	0	CONTEXT	
OK	0x2D800	18002d800	FUN_18002d800	0	CONTEXT	
OK	0x31420	180031420	FUN_180031420	0	CONTEXT	
OK	0x318B0	1800318b0	FUN_1800318b0	0	CONTEXT	
OK	0x34630	180034630	FUN_180034630	0	CONTEXT	
OK	0x34A00	180034a00	FUN_180034a00	0	CONTEXT	
OK	0x36790	180036790	FUN_180036790	0	CONTEXT	
OK	0x37890	180037890	FUN_180037890	0	CONTEXT	
OK	0x3A370	18003a370	FUN_18003a370	0	CONTEXT	
OK	0x3A510	18003a510	FUN_18003a510	0	CONTEXT	
OK	0x3AA40	18003aa40	FUN_18003aa40	0	CONTEXT	
OK	0x3CF80	18003cf80	FUN_18003cf80	0	CONTEXT	
OK	0x3EB00	18003eb00	FUN_18003eb00	0	CONTEXT	
OK	0x3EDD0	18003edd0	FUN_18003edd0	0	CONTEXT	
OK	0x40710	180040710	FUN_180040710	0	CONTEXT	
OK	0x407F0	1800407f0	FUN_1800407f0	0	CONTEXT	
OK	0x41040	180041040	FUN_180041040	0	CONTEXT	
OK	0x41180	180041180	FUN_180041180	0	CONTEXT	
OK	0x43B60	180043b60	FUN_180043b60	0	CONTEXT	
OK	0x443C0	1800443c0	FUN_1800443c0	0	CONTEXT	
OK	0x46650	180046650	FUN_180046650	0	CONTEXT	
OK	0x46660	180046660	FUN_180046660	0	CONTEXT	
OK	0x46760	180046760	FUN_180046760	0	CONTEXT	
OK	0x46800	180046800	FUN_180046800	0	CONTEXT	
OK	0x46AE0	180046ae0	FUN_180046ae0	0	CONTEXT	
OK	0x46F30	180046f30	FUN_180046f30	0	CONTEXT	
OK	0x46FE0	180046fe0	FUN_180046fe0	0	CONTEXT	
OK	0x47210	180047210	FUN_180047210	0	CONTEXT	
OK	0x47430	180047430	FUN_180047430	0	CONTEXT	
OK	0x474E0	1800474e0	FUN_1800474e0	0	CONTEXT	
OK	0x48130	180048130	FUN_180048130	0	CONTEXT	
OK	0x481E0	1800481e0	FUN_1800481e0	0	CONTEXT	
OK	0x48410	180048410	FUN_180048410	0	CONTEXT	
OK	0x48640	180048640	FUN_180048640	0	CONTEXT	
OK	0x48850	180048850	FUN_180048850	0	CONTEXT	
OK	0x48A80	180048a80	FUN_180048a80	0	CONTEXT	
OK	0x49A60	180049a60	FUN_180049a60	0	CONTEXT	
OK	0x4A0C0	18004a0c0	FUN_18004a0c0	0	CONTEXT	
OK	0x4A280	18004a280	FUN_18004a280	0	CONTEXT	
OK	0x4A360	18004a360	FUN_18004a360	0	CONTEXT	
OK	0x4A860	18004a860	FUN_18004a860	0	CONTEXT	
OK	0x4B720	18004b720	FUN_18004b720	0	CONTEXT	
OK	0x4BB40	18004bb40	FUN_18004bb40	0	CONTEXT	
OK	0x4BE90	18004be90	FUN_18004be90	0	CONTEXT	
OK	0x4BF10	18004bf10	FUN_18004bf10	0	CONTEXT	
OK	0x4D6D0	18004d6d0	FUN_18004d6d0	0	CONTEXT	
OK	0x4DC60	18004dc60	FUN_18004dc60	0	CONTEXT	
OK	0x4DEA0	18004dea0	FUN_18004dea0	0	CONTEXT	
OK	0x4E020	18004e020	FUN_18004e020	0	CONTEXT	
OK	0x51580	180051580	FUN_180051580	0	CONTEXT	
OK	0x51720	180051720	FUN_180051720	0	CONTEXT	
OK	0x51730	180051730	FUN_180051730	0	CONTEXT	
OK	0x51890	180051890	FUN_180051890	0	CONTEXT	
OK	0x51A90	180051a90	FUN_180051a90	0	CONTEXT	
OK	0x53160	180053160	FUN_180053160	0	CONTEXT	
OK	0x546A0	1800546a0	FUN_1800546a0	0	CONTEXT	
OK	0x54960	180054960	FUN_180054960	0	CONTEXT	
OK	0x557D0	1800557d0	FUN_1800557d0	0	CONTEXT	
OK	0x55B80	180055b80	FUN_180055b80	0	CONTEXT	
OK	0x55CE0	180055ce0	FUN_180055ce0	0	CONTEXT	
OK	0x5B720	18005b720	Run	0	CONTEXT	
OK	0x5B920	18005b920	FUN_18005b920	0	CONTEXT	
