TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
CONTEXT	0x4DC60	18004dc60	FUN_18004dc60	0	undefined1 * FUN_18004dc60(undefined1 * param_1, float * param_2, longlong param_3, longlong * param_4)
CONTEXT	0x4DEA0	18004dea0	FUN_18004dea0	0	basic_ostream<char,std::char_traits<char>_> * FUN_18004dea0(basic_ostream<char,std::char_traits<char>_> * param_1, undefined1 param_2)
CONTEXT	0x4E020	18004e020	FUN_18004e020	0	undefined FUN_18004e020(void)
CONTEXT	0x51580	180051580	FUN_180051580	0	undefined FUN_180051580(longlong * param_1)
CONTEXT	0x51720	180051720	FUN_180051720	0	longlong FUN_180051720(longlong param_1)
CONTEXT	0x51730	180051730	FUN_180051730	0	undefined1 * FUN_180051730(undefined1 * param_1, longlong * param_2, longlong param_3, longlong * param_4)
CONTEXT	0x51890	180051890	FUN_180051890	0	char * FUN_180051890(char * param_1, char * param_2)
CONTEXT	0x51A90	180051a90	FUN_180051a90	0	char * FUN_180051a90(char * param_1, char * param_2, undefined8 param_3, undefined8 param_4)
CONTEXT	0x53160	180053160	FUN_180053160	0	undefined8 FUN_180053160(longlong param_1, longlong param_2, undefined8 * param_3, undefined8 * param_4, longlong param_5)
CONTEXT	0x546A0	1800546a0	FUN_1800546a0	0	undefined8 * FUN_1800546a0(float * param_1, undefined8 * param_2, undefined8 * param_3)
